subject_ID,TAS_difficulty_describing_feelings,TAS_difficulty_identifying_feelings,TAS_externally_oriented_thinking,IRI_perspective_taking,IRI_fantasy,IRI_empathic_concern,IRI_personal_distress,ECQ_cognitive_ability,ECQ_cognitive_drive,ECQ_affective_ability,ECQ_affective_drive,ECQ_affective_reactivity,DCM_lofac_raIns_genuine_modulation,DCM_lofac_raIns_pretended_modulation
1,14,22,12,33,23,30,23,21,19,15,15,23,1.1345,0.1475
2,6,13,16,23,28,32,15,17,15,16,15,20,0.877,0.0251
3,11,11,12,32,16,31,20,20,19,15,15,27,0.748,0.6553
4,18,22,19,28,27,31,26,23,19,17,15,25,0.9576,0.3181
5,18,16,19,23,27,26,23,14,14,11,11,22,0.7265,0.6541
6,9,13,18,30,21,28,17,18,18,13,14,22,0.7273,0.5648
7,10,17,17,24,32,26,18,18,15,18,14,24,0.5589,0.7378
10,8,13,18,28,24,28,13,15,18,14,15,24,0.68,0.81
11,9,16,17,29,22,27,19,15,15,19,12,23,0.84,0.82
12,14,21,17,27,27,24,16,18,16,16,13,23,0.87,0.69
13,24,31,16,27,16,23,23,14,17,10,9,15,0.73,0.57
14,9,27,13,27,35,32,16,22,20,19,16,24,0.72,0.73
15,18,23,21,25,26,27,23,20,16,13,12,18,0.94,0.59
19,10,20,13,31,30,30,17,22,20,20,14,24,0.79,0.59
20,16,19,12,24,33,30,20,21,16,14,14,24,0.98,0.43
22,13,17,21,19,20,22,27,18,10,15,12,18,0.78,0.58
23,16,21,10,23,33,17,13,16,15,14,16,17,0.9,0.49
25,8,14,10,25,29,26,14,18,16,14,11,19,0.85,0.53
26,9,13,17,28,30,27,17,21,15,16,13,19,0.87,0.71
27,13,14,20,18,29,23,19,16,13,9,11,22,0.85,0.52
28,13,15,26,14,15,20,16,19,11,15,12,16,0.5,0.77
29,11,9,18,26,27,25,16,19,15,16,12,24,0.75,0.78
30,8,13,18,35,27,29,25,19,20,19,14,27,0.77,0.6
32,19,24,23,25,16,19,18,15,16,6,12,18,1.05,0.36
33,10,13,14,28,27,30,16,19,19,16,15,25,0.88,0.39
34,13,12,30,22,21,23,13,22,16,12,11,20,0.78,0.6
35,12,11,21,20,17,21,19,17,12,15,13,23,0.95,0.42
38,7,7,16,25,25,25,16,17,16,18,14,22,0.61,0.87
39,9,13,13,31,26,25,13,21,15,17,13,22,1.06,0.37
42,9,14,11,25,30,26,10,20,17,16,14,19,0.73,0.73
43,13,18,12,25,27,21,16,19,18,20,14,19,1.05,0.39
44,12,13,18,17,19,24,21,16,16,16,13,23,0.52,0.75
45,13,11,15,28,23,23,9,21,16,20,14,21,0.87,0.45
46,11,13,13,28,26,30,18,21,14,18,12,19,0.81,0.48
47,11,11,23,24,18,26,17,18,15,17,13,19,0.51,0.74
48,16,16,22,30,32,22,14,19,18,12,11,17,0.74,0.68
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , 
